Sl.no,Subject,class ,Title of the book,Author ,Publication,Edition,Price of the book in Rs,Book Condition,Almirah no,Reck no
1697,Hindi,8,भाषा मंथन,व्रिलोक कौशिक,हेल्पलाइन,2007,89.90,Satisfactory,8330,3
1698,Hindi,8,नवीन व्यवहारिक व्याकरण तथा रचना,कविता बसु/गीता गौतम,गोयल ब्रादर्श,2006,80,Satisfactory,8330,3
1699,Hindi,4,व्याकरण वाटिका,डॉ. अनुराधा,मधुबन एजुकेशनल बुक्स,2014,135,Satisfactory,8330,3
1700,Hindi,8,हिंदी व्याकरण रचना,ममता रावल/डॉ. रघुवीर रावल,मॉर्डन,,120,Satisfactory,8330,3
1701,Hindi,-,प्राची हिंदी व्याकरण,डॉ. देवेन्द्र कुमार शर्मा,प्राची,2005,60,Satisfactory,8330,3
1702,Hindi,5,सुगंधा ,डॉ. राकेश कुमार शर्मा ,जी. राम बुक्स प्राइवेट लि.,2009,135,Satisfactory,8330,3
1703,Hindi,-,सच्चाई की करामात, जगत राम आर्य, किताब घर,1996,40,Satisfactory,8330,3
1704,Hindi,-,काली आँधी, कमलेश्वर,  राजपाल एंड संस,1989,30,Satisfactory,8330,3
1705,Hindi,-,बंदिनी, विष्णु प्रभाकर, राजपाल एंड सन,1991,30,Satisfactory,8330,3
1706,Hindi,-,हरा दर्पण, कृष्ण भावुक,राजपाल एंड संस,1985,35,Satisfactory,8330,3
1707,Hindi,-,तेजस्वी मैन, एपीजे अब्दुल कलाम,प्रभात प्रकाशन,2003,155,Satisfactory,8330,3
1708,Hindi,-,लज़्ज़ा, तस्लीमा नसरीन,वाणी प्रकाशन,1994,85,Satisfactory,8330,3
1709,Hindi,-,साठोत्तरी हिंदी कविता में जनवादी चेतना, नरेंद्र सिंह,वाणी प्रकाशन,1990,150,Satisfactory,8330,3
1710,Hindi,-,गाँधी जी के पद चिह्न, लक्ष्मी नारायण शास्त्री,आर्य पब्लिशिंग,1983,6,Satisfactory,8330,3
1711,Hindi,-,यात्रा के पन्ने,राहुल सांकृत्यायन,भारतीय प्रकाशन,1995,125,Satisfactory,8330,3
1712,Hindi,-,झीनी झीनी बीनी चदरिया, अब्दुल बिस्मिल्लाह,राजकमल प्रकाशन,1995,100,Satisfactory,8330,3
1713,Hindi,-,काका साहब कालेलकर, रविंद्र केलेलकर,नेशनल बुक ट्रस्ट,1987,20.25,Satisfactory,8330,3
1714,Hindi,-,साहस औऱ पराक्रम की कहानियाँ, मनहर   चौहार,आर्य बुक डिपो,1990,12,Satisfactory,8330,3
1715,Hindi,-,द्रोपदी से द्रोपदी तक,इमराज,राजपाल एंड संस,-,40,Satisfactory,8330,3
1716,Hindi,-,ज्ञान सरोवर,श्रीमती उर्मिला मैदीस्ता,आर्य बुक डिपो,2014,50,Satisfactory,8330,3
1717,Hindi,-,नवयुग गोल्डन हिंदी, सौम्या चंद्र,लक्ष्मी पब्लिकेशन्स,-,175,Satisfactory,8330,3
1718,Hindi,-,सुगम शारीरिक शिक्षा एवं खेलकूद, रामनंदन प्रसाद सिंह,भारती  भवन,2003,19,Satisfactory,8330,3
1719,Hindi,-, मानसिक स्वास्थ्य और मनोचिकित्सा,आशारानी ठहोरा,आर्य प्रकाशन,1994,60,Satisfactory,8330,3
1720,Hindi,-, योगासन और प्राणायाम,स्वामी अक्षय आत्मनन्द,प्रतिभा प्रतिष्ठान,2004,125,Satisfactory,8330,3
1721,Hindi,-, हां तुम एक विजेता हो,आर.एस चोयल,पुस्तक महल,2004,60,Satisfactory,8330,3
1722,Hindi,-, रसायन शास्त्र,डॉ. अवधेश कुमार सिंह,भारती भवन,2015,75,Satisfactory,8330,3
1723,Hindi,-, आचार्य श्री,मुनिश्री,आतमराम,-,-,Satisfactory,8330,3
1724,Hindi lit,5,राष्ट्रभाषा," सुरिद्र कौर बरण
श्रीमती कविता रफी","एऐवश्रग्रीन
",2013,150,Good,8330,1
1725,Hindi lit,5,संचय,डॉ ॰कुमुद शर्मा,थी स्टार पब्लिकेशंन,CCE,180,Good,8330,1
1726,Hindi lit,5,मैधा,"शैल ठाकुर मीना
श्रीवास्तव कुकम",कृति प्रकाशन,2015,255,Good,8330,1
1727,Hindi lit,5,नवीन पलाश,डॉ ॰ अर्चना अग्रवाल,सुल्तान चंद,2015,175,Good,8330,1
1728,Hindi lit,5,मेरी हिंदी,अंजला शर्मा,हर-आनन्द पब्लिकेशन्स,2015,225,Good,8330,1
1729,Hindi lit,5,मैधा,"मीनू श्रीवास्तव
कुकुम चतुर्वेदी",कृति प्रकाशन,2010,120,Good,8330,1
1730,Hindi lit,4,हिंदी संचय,डॉ॰कुमुद शर्मा,थी. स्टार पब्लिकेशंस,NCERT,170,Good,8330,1
1731,Hindi lit,4,हिंदी पाठमाला,निदा फातिमा,acevision,2017,255,Good,8330,1
1732,Hindi lit,5,नवरंग सरल हिंदी,डॉ॰शारदा भसीन,ओरियंटल लाँग्मैन,2003,53,Good,8330,1
1733,Hindi lit,5,हिंदी पाठमाला,निदा फ़ातिमा,acevision,2017,265,Good,8330,1
1734,Hindi language,5,भाषा रत्न,शशि शर्मा,सीगल पब्लिकेशंस,2016,240,Good,8330,1
1735,Hindi lit,5,अनुगूँज,इंदिरा वेद,Eduline,2017,280,Good,8330,1
1736,Hindi lit,5,महकती रजनीगंधा,"संयुक्ता लल्ला
प्रभा शर्मा",मधुबन,2011,140,Good,8330,1
1737,Hindi lit,5,भाषा संचय,"डॉ॰देवेंद्र कुमार शर्मा
डॉ ॰अंजु शर्मा","प्राची इंडिया
प्रा॰ लिमिटेड",2013,160,Good,8330,1
1738,Hindi lit,5,सुरभि,कविता शर्मा,होलीफेय इन्टरनेशनल,-,100,Good,8330,1
1739,Hindi lit,5,अनुपम,किरण सोनी,फ्रैंक एजुकेशनल एऐडस,2017,260,Good,8330,1
1740,Hindi lit,5,ज्ञानोदय,"विमला कौशिक
डॉ॰ जय नारायण",पीताम्बर पब्लिकेशंग हाउस,2015,235,Good,8330,1
1741,Hindi lit,7,संचय,डॉ॰कुमुद शर्मा,थी -स्टार,NCERT,215,Good,8330,1
1742,Hindi lit,5,संचय,डॉ॰ कुमुद शर्मा,थी -स्टार,NCERT,180,Good,8330,1
1743,Hindi lit,5,गुरुकुल कालिंदी,सदन कुमार सिन्हा,गुरुकुल,2017,215,Good,8330,1
1744,Hindi lit,5,पुष्पांजलि,शिवमूर्ति सिंह वत्स,डिवाइन पब्लिकेशंस,NCERT,78,Good,8330,1
1745,Hindi lit,5,प्रभात,भीष्म जादौन,हेल्प लाइन,2009,124,Good,8330,1
1746,Hindi lit,5,भाषा मणि,विजयलक्ष्मी जुगरान,गुडलक पब्लिशर्स,2010,110,Good,8330,1
1747,Hindi lit,5,वाटिका,डॉ॰राजेश दुल,आयु बुक डिपो,2016,230,Good,8330,1
1748,Hindi lit,5,संचय,डॉ॰ कुमुद शर्मा,थी -स्टार,-,180,Good,8330,1
1749,Hindi lit,4,अनुपम धारा,"मधुबाला रस्तोगी
कैशला नाथ
एम.कपूर",आर. डी. पब्लिशर्स,2014,150,Good,8330,1
1750,Hindi lit,4,ज्ञान ज्योति,नंदिता अग्रवाल,पीताम्बर,2000,37,Good,8330,2
1751,Hindi lit,3,भाषा संचय,"डॉ॰ देवेंद्र कुमार शर्मा
डॉ अंजु शर्मा","प्राची इंडिया
प्रा॰लिमिटेड",2015,180,Good,8330,2
1752,Hindi lit,3,अनुपम धारा,"मधुबाला रस्तोगी
कैलाश नाथ
एम. कपूर",आर.टी. पब्लिशर्स,2014,140,Good,8330,2
1753,Hindi lit,3,आशी,विनीता जैन,हंस पब्लिकेशंस,2014,156,Good,8330,2
1754,Hindi lit,3,अमृत हिंदी पाठमाला,डॉ॰ शल श्रीवास्तव, activity,2012,165,Good,8330,2
1755,Hindi lit,3,संचय,डॉ॰ कुमुद शर्मा,थी -स्टार,NCERT  CCE,140,Good,8330,2
1756,Hindi lit,3,अनुगूँज,इंदिरा वेद,Eduline,2017,260,Good,8330,2
1757,Hindi lit,3,संचय,डॉ॰ कुमुद शर्मा,थी -स्टार,CCE,155,Good,8330,2
1758,Hindi lit,3,संचय,डॉ॰कुमुद शर्मा,थी -स्टार,CCE,155,Good,8330,2
1759,Hindi lit,3,पल्लव,"डॉ॰रामसुधार सिंह
डॉ॰ विवेक पाण्डेय",अमृत प्रकाशन,2015,190,Good,8330,2
1760,Hindi lit,5,पल्लव,"डॉ॰रामसुधार सिंह
डॉ॰ विवेक पाण्डेय",अमृत प्रकाशन,2013,170,Good,8330,2
1761,Hindi lit,4,हिंदी सुरभि,कविता शर्मा,होलीफेय इन्टरनेशल,-,235,Good,8330,2
1762,Hindi lit,4,अनुगूँज,इंदिरा वेद,Eduline,2017,270,Good,8330,2
1763,Hindi lit,4,संचय,डॉ॰ कुमुद शर्मा,थी स्टार,CCE,155,Good,8330,2
1764,Hindi lit,4,वसुंधरा,हरिशचंद्र,सोम सुधा प्रकाशन,2012,140,Good,8330,2
1765,Hindi lit,4,बाल भारती,"संयुक्ता लल्ला
सत्येन्द्र वर्मा","राष्ट्रीय शिक्षक
अनुसंधान",2003,30,Good,8330,2
1766,Hindi,-,पांलियामेट स्ट्रीट,भट्टाचार्य,सन्मार्ग,1969,5,Good,8330,3
1767,Hindi,-,सूरज का सातवाँ घोड़ा,धर्म भारती,भारतीय ज्ञानपाठ,1992,24,Good,8330,3
1768,Hindi,-,बादशाह गुलाम बेगम,गिरिराज किशोर,राजकमल प्रकाशन,1979,18,Good,8330,3
1769,Hindi,-,वाह रे मैं वाह !,कन्हैयालाल ,राजकमल प्रकाशन,-,4.5,Good,8330,3
1770,Hindi,-,संघर्ष,नानक सिंह,राजपाल,1971,4.5,Good,8330,3
1771,Hindi,-,मेरे सपनों का भारत,ए ॰पी ॰जेअब्दुल कलाम,प्रभात पेपरबॉक्स,2006,95,Good,8330,3
1772,Hindi,-,यशोधरा,श्रीभैथिलीशग गुप्त,चिरगाँव (झांँसी),1928,4,Good,8330,3
1773,Hindi,-,विघापति,मो॰जनार्दन मिश्रा,रामनारायण लाल बेनी,1939,6,Good,8330,3
1774,Hindi,-,"तीज त्यौहार की
लोक कथाएँ",कुणाल श्रीवास्तव,राष्ट्रभाषा,1970,3,Good,8330,3
1775,Hindi,-,शब्द तका जीवन,भोलानाथ तिवारी,राजकमल,1977,20,Good,8330,3
1776,Hindi,-,पाँच पर्दे,मोहन राकेश,पंचन परेड,2004,25,Good,8330,3
1777,Hindi,-,पंचीकश्शा ,राजेश दीक्षीत,प्रभात प्रकाशन,1960,3,Good,8330,3
1778,Hindi,-,चन्द्रकान्ता सन्तति,देवकीनंदन खत्री,राजकमल,1986,84,Good,8330,3
1780,Hindi,-,वर्तमान एशिया,रामचंद्र वर्मा,-,-,-,Good,8330,3
1781,Hindi,-,वीर बालक बनें,जगतराम आयु,जगतराम प्रकाशन,1997,40,Good,8330,3
1782,Hindi,-,पाटलिपुत्र की राजनर्तकी,रमेश प्रसाद सिंह,अशोक प्रकाशन,1994,125,Good,8330,3
1784,Hindi,-,एक करोड़ की बोतल,कृशनचंदर,राजकमल,1988,40,Good,8330,3
1785,Hindi,-,हास्त नाटक,शौकत थानवी,सन्मार्ग प्रकाशन,1969,4,Good,8330,3
1786,Hindi,-,-,आनंद पेपबॉक्स,-,-,-,Good,8330,3
1787,Hindi,-,नदी के दीप,अज्ञेय,नेशनल पब्लिकेशन,1995,175,Good,8330,3
1788,Hindi,-,अक्षरोंकी कहानी,गुणकर मूल्य,ज्ञान - विज्ञान प्रकाशन,2001,65,Good,8330,3
1789,Hindi,-,मांँ और अश्वत्थामा,रविन्द्र वर्मा,-,1984,25,Good,8330,3
1790,Hindi,-,परिवहन की कहानी,शुखदेव प्रसाद,परिवहन,2004,150,Good,8330,3
1791,Hindi,-,"स्वतंत्र सेनानी वीर
आदिवासी",शिवतोष दास,किताब घर,1993,-,Good,8330,3
1792,Hindi,-,खराशे,गुलजार,राधाकृष्ण प्रकाशन,2003,125,Good,8330,3
1793,Hindi,-,"अंँगरेजी हिंदी
जूलियस सीज़र","अरविंद कुमार
विलियम शेक्सपियर",राधाकृष्ण प्रकाशन,2004,195,Good,8330,3
1794,Hindi,-, विद्रोह का माहावीर,डेनिस किन्केड,सूचना और प्रकाशन,1962,2.25,Good,8330,3
1795,Hindi,-,काला घोड़ा,सुरेश शुक्ला,शिक्षा भारती,1988,8,Good,8330,3
1796,Hindi,-,चरित्र बल,जगतराम आयु,किताब घर,1994,85,Good,8330,3
1797,Hindi,-,दहेज की बुराइयों,श्यामचंद्र कपूर,ग्रंथ अकादमी,2004,20,Good,8330,3
1798,Hindi,-,सप्त सुमन,प्रेमचंद,सरस्वती प्रेस,1993,30,Good,8330,3
1800,Hindi,-,रामलीला,सरल प्रेमचंद,समाज शिक्षा प्रकाशन,1989,10,Good,8330,3
1801,Hindi,-,सीपी और शंख,नेशनल हाउस दिनकर,सीपी और शंकर,-,33,Good,8330,3
1802,Hindi,-,पथ का पाप,रांगेय राघव,राजपाल एंड सन्ज,1984,20,Good,8330,3
1803,Hindi,-,गांधीजी बोले थे,अभिमन्तु अनत,राजपाल प्रकाशन,1984,38,Good,8330,3
1804,Hindi,-,समृद्धि का सदुपयोग,आर.एम. लाल,राजपाल प्रकाशन,1984,30,Good,8330,3
1805,Hindi,-,अपूर्व साहज,नीलिमा सिंह,चिल्डन्स बुक,1996,-,Good,8330,3
1806,Hindi,-,"जिसका खाना उसका
 गाना",दिनेश कुमार,-,1994,95,Good,8330,3
1807,Hindi,-,"डॉ॰ अम्बेडकर
चिन्तन और मोहन
भटनागर",डॉ ॰ राजेंद्र ,जगतराम प्रकाशन,-,75,Good,8330,3
1808,"Hindi lit
",5,अनुराग,"सत्य नारायण लाल
अंकिमचंद्र",ओरियंटल लाँग्मैन,2005,64,Good,8330,1
1809,Hindi lit,5,शिखर,कृष्णाकुमार गोस्वामी,सृजन पब्लिशर्स,2014,249,Good,8330,1
1810,Hindi,3,भाषा भारती,डॉ॰ ए॰के॰ शर्मा,होलि स्पिरिट,-,37,Good,8330,1
1811,Hindi,5,संकल्प,श्रीमती पारस गुप्ता,लैण्डमार्क बुक्स प्राइवेट लिमिटेड,2009,105,Good,8330,1
1812,Hindi,8,भाषा मंथन,"त्रिलोक कौशिक
राजेश कुमार विद्यार्थि",हेल्प लाइन,2007,124,Good,8330,1
1813,Hindi,5,बिखरे मोती,गिरिरजा गोस्वामी,किड्स वर्ल्ड,-,140,Good,8330,1
1814,Hindi,5,संगिनी,आर॰ पी ॰श्रीवास्तव,फ्रैंक एजुकेशनल एड्स,2014,211,Good,8330,1
1815,Hindi,8,हिंदी सुरभि,कविता शर्मा,"होली फेर
इन्टरनेशनल",2005,250,Good,8330,1
1816,Hindi,1,नवरंग सरल हिंदी,डॉ॰शारदा भसीन,ओरियंटल लाँग्मैन,2003,50,Good,8330,1
1817,Hindi,6,राष्ट्रभाषा भारती,"डॉ॰ गंगादत्त शर्मा
डॉ॰सुरेश पंत",अविचल पब्लिशिंग,2010,72,Good,8330,1
1818,Hindi,5,पराग,मनीषा शर्मा,सृजन,2016,289,Good,8330,1
1819,Hindi,5,रोहिणी,देवेन्द्र कुमार शर्मा,sophy learner's,-,310,Good,8330,1
1820,Hindi,8,रोहिणी,देवेन्द्र कुमार शर्मा,सोफी लर्नर,-,300,Good,8330,1
1821,Hindi,7,रोहिणी,देवेन्द्र कुमार शर्मा,सोफी लर्नर,-,295,Good,8330,1
1822,Hindi,6,रोहिणी,देवेन्द्र कुमार शर्मा,सोफी लर्नर,-,250,Good,8330,1
1823,Hindi,5,रोहिणी,देवेन्द्र कुमार शर्मा,सोफी लर्नर,-,240,Good,8330,1
1824,Hindi,4,रोहिणी,देवेन्द्र कुमार शर्मा,सोफी लर्नर,-,230,Good,8330,1
1825,Hindi,3,रोहिणी,देवेन्द्र कुमार शर्मा,सोफी लर्नर,2009,36,Good,8330,1
1826,Hindi,2,राष्ट्रवाणी,विश्वनाथ भारहवाज,गोयल ब्रदरर्स प्रकाशन,-,28,Good,8330,1
1827,Hindi,ukg ,भाषा बोध,श्रीमती विनीता गौतम,गौतम ब्रदर्स,2017,140,Good,8330,1
1828,Hindi,3,व्याकरण आनंद,प्रभा शर्मा गीता,सोनाका,2017,110,Good,8330,1
1829,Hindi,1,व्याकरण आनंद,प्रभा शर्मा गीता,सोनाका,2018,300,Good,8330,1
1830,Hindi,7,अक्षरा,डॉ॰रंजना,"एवरग्रीन
पब्लिकेशन",2018,300,Good,8330,1
1831,Hindi,8,अक्षरा,डॉ॰रंजना,"एवरग्रीन
पब्लिकेशन",2018,280,Good,8330,1
1832,Hindi,6,अक्षरा,डॉ॰रंजना,"एवरग्रीन
पब्लिकेशन",2017,230,Good,8330,1
1833,Hindi,5,अक्षरा,डॉ॰रंजना,"एवरग्रीन
पब्लिकेशन",2015,315,Good,8330,1
1834,Hindi,5,अक्षरा,डॉ॰रंजना,"एवरग्रीन
पब्लिकेशन",-,250,Good,8330,1
1835,Hindi,7,हिंदी सुरभि,कविता शर्मा,होली फेय इन्टर नेशनल,CCE,225,Good,8330,1
1836,Hindi,8,संचय,डॉ॰कुमुदशर्मा,थी स्टार पब्लिकेशंन,2012,170,Good,8330,1
1837,Hindi,7,वसुंधरा,हरिश्चंद्र,सोम सुधा प्रकाशन,CCE,195,Good,8330,1
1838,Hindi,7,संचय,डॉ॰ कुमुद शर्मा,थी स्टार पब्लिकेशंन,-,250,Good,8330,1
1839,Hindi,7,वसुधा,हरिश्चंद्र,सोम सुधा प्रकाशन,2013,180,Good,8330,1
1840,Hindi,7,अतुगूँज,इंदिरा वेद,एड्यछलाइन प्रकाशन,2017,295,Good,8330,1
1841,Hindi,7,राष्ट्रभाषा,"डॉ॰ सुरिंदर कौर बरारा
श्रीमती कविता रफी",ऐवग्रीन पब्लिकेशन,2013,170,Good,8330,1
1842,Hindi,7,निर्झर,"डॉ॰मंजू तिवारी
विनोद तिवारी",गौतमब्रदर्स एंड कम्पनी,CCE,215,Good,8330,1
1843,Hindi,7,अनुराग,"सत्यनारायण लाल
अंकिमचंद्र",ओरियंट लाँग्मैन,CCE,225,Good,8330,1
1844,Hindi,8,शिखर,कृष्णा कुमार गोस्वामी,सृजन पब्लिशर्स,2017,305,Good,8330,1
1845,Hindi,8,भाषा भारती,डॉ॰ए॰के॰शर्मा,होली स्पिरिट,CCE,210,Good,8330,1
1846,Hindi,8,संकल्प,श्रीमती पारस गुप्ता,"लैण्डमार्क बुक्स
प्राइवेट लिमिटेड",2012,180,Good,8330,1
1847,Hindi,8,भाषा मंथन,"त्रिलोक कौशिक
राजेश कुमार विद्यार्थी",हेल्पलाइन,2017,290,Good,8330,1
1848,Hindi,8,बिखरे मोती,गिरिराज गोस्वामी,किड्स वर्ल्ड,2013,180,Good,8330,1
1849,Hindi,8,हिंदी सुरभि,कविता शर्मा,"फ्रैंक एजुकेशनल
एड्स",CCE,100,Good,8330,1
1850,Hindi,8,संचय,डॉ॰कुमुद शर्मा,थी स्टार पब्लिकेशंन,2018,265,Good,8330,1
1851,Hindi,6,संचय,डॉ॰कुमुद शर्मा,थी स्टार पब्लिकेशंन,-,235,Good,8330,1
1852,Hindi,4,संचय,डॉ॰कुमुद शर्मा,थी स्टार पब्लिकेशंन,-,155,Good,8330,1
1853,Hindi,2,गरिमा,"वीरेंद्र जैन
डॉ॰ प्रदीप कुमार जैन",मधुबन,-,180,Good,8330,1
1854,Hindi,4,सुलेख सरिता,वीना आहूना,सोनका,-,195,Good,8330,1
1855,Hindi,5,सुलेख सरिता,वीना आहूना,सोनका,2017,330,Good,8330,1
1856,Hindi,6,सुलेख सरिता,वीना आहूना,सोनका,-,125,Good,8330,1
1857,Hindi,4,सुलेख सरिता,वीना आहूना,सोनका,-,125,Good,8330,1
1858,Hindi,2,सुलेख सरिता,वीना आहूना,सोनका,-,125,Good,8330,1
1859,Hindi,5,सुलेख सरिता,वीना आहूना,सोनका,-,125,Good,8330,1
1860,Hindi,5,सुलेख सरिता,वीना आहूना,सोनका,-,125,Good,8330,1
1861,Hindi,4,सुलेख सरिता,वीना आहूना,सोनका,-,125,Good,8330,1
1862,Hindi,2,सुलेख सरिता,वीना आहूना,सोनका,-,125,Good,8330,1
1863,Hindi,3,सुलेख सरिता,वीना आहूना,सोनका,-,125,Good,8330,1
1864,Hindi,1,सुलेख सरिता,वीना आहूना,सोनका,-,125,Good,8330,1
1865,Hindi,pre primary,अक्षर‌ लेखन,वीना आहूना,सोनका,-,135,Good,8330,1
1866,Hindi,pre primary,सुलेख सरिता,वीना आहूना,सोनका,2016,245,Good,8330,1
1867,Hindi,5,नरचर प्रबुद्ध,नेहा गौड़,नरचर इंडिया पब्लिकेशन,2016,225,Good,8330,1
1868,Hindi,2,नरचर प्रबुद्ध,नेहा गौड़,नरचर इंडिया पब्लिकेशन,2016,235,Good,8330,1
1869,Hindi,3,नरचर प्रबुद्ध,नेहा गौड़,नरचर इंडिया पब्लिकेशन,-,230,Good,8330,1
1870,Hindi,8,संचय,डॉ॰कुमुद शर्मा,थी स्टार पब्लिकेशंन,-,225,Good,8330,1
1871,Hindi,7,संचय,डॉ॰कुमुद शर्मा,थी स्टार पब्लिकेशंन,-,210,Good,8330,1
1872,Hindi,6,संचय,डॉ॰कुमुद शर्मा,थी स्टार पब्लिकेशंन,2017,150,Good,8330,1
1873,Hindi,4,व्याकरण आनंद,"प्रभा शर्मा
गीता राय",सोनका,2017,120,Good,8330,1
1874,Hindi,2,व्याकरण आनंद,"प्रभा शर्मा
गीता राय",सोनका,2016,185,Good,8330,1
1875,Hindi,3,नरचर हिंदी व्याकरण,नेहा गौड़,नरचर इंडिया,-,120,Good,8330,1
1876,Hindi,1,सुरुचि हिंदी व्याकरण,डॉ॰कुमुद शर्मा,थी स्टार पब्लिकेशंन,-,135,Good,8330,1
1877,Hindi,3,सुरुचि हिंदी व्याकरण,डॉ॰कुमुद शर्मा,थी स्टार पब्लिकेशंन,2017,170,Good,8330,1
1878,Hindi,5,व्याकरण आनंद,"प्रभा शर्मा
गीता राय",सोनका पब्लिकेशन,2016,160,Good,8330,1
1879,Hindi,2,हिंदी व्याकरण,नेहा गौड़,नरचर इंडिया,-,190,Good,8330,1
1880,Hindi,4,हिंदी व्याकरण,नेहा गौड़,नरचर इंडिया,2016,215,Good,8330,1
1881,Hindi,5,हिंदी व्याकरण,नेहा गौड़,नरचर इंडिया,-,156,Good,8330,1
1882,Hindi,4,हिंदी व्याकरण,डॉ॰कुमुद शर्मा,थी स्टार पब्लिकेशंन,-,175,Good,8330,1
1883,Hindi,5,हिंदी व्याकरण,डॉ॰कुमुद शर्मा,थी स्टार पब्लिकेशंन,2016,145,Good,8330,1
1884,Hindi,1,हिंदी व्याकरण,नेहा गौड़,नरचर इंडिया,-,200,Good,8330,1
1885,Hindi,2,भाषा सेतु,"देवेंद्र कुमार शर्मा
अंजु शर्मा",प्राची,2016,225,Good,8330,1
1886,Hindi,1,नरचर प्रबुद्ध,नेहा गौड़,नरचर इंडिया,-,225,Good,8330,1
1887,Hindi,2,हिंदी सुरभि,कविता शर्मा,"होली फेरय
इंटरनेशनल प्रकाशन",2016,365,Good,8330,1
1888,Hindi,8,अनुपम धारा,"मधुबाला रस्तोगी
कैलाश नाथ
एम कपूर",आर. टी. पब्लिकेशन,-,240,Good,8330,1
1889,Hindi,5,संचय,डॉ॰कुमुद शर्मा,थी स्टार पब्लिकेशंन,2017,180,Good,8330,1
1890,Hindi,8,संचय,डॉ॰कुमुद शर्मा,थी स्टार पब्लिकेशंन,-,225,Good,8330,1
1891,Hindi,8,संचय,डॉ॰कुमुद शर्मा,थी स्टार पब्लिकेशंन,2013,33,Good,8330,1
1892,Hindi,5, भाषा बोघ,डॉ॰सी.पी.एस मिश्रा,रॉबिन,-,33,Good,8330,1
1894,Hindi,5,भारती,डॉ भारती पांडेय,क्रण्डोवा पब्लिकेशंस,-,295,Good,8330,1
1895,Hindi,5,कोयल,डॉ प्रदीप श्रीघर,"इन्सप्रश्शन
पब्लिकेशन",2011,89,Good,8330,1
1896,Hindi,5,लक्ष्य,उषा छाबड़ा,सेपाहेर पब्लिकेशन,-,275,Good,8330,1
1898,Hindi,5,भारती,डॉ भारती पांडेय,क्रण्डोवा पब्लिकेशंस,-,295,Good,8330,1
1899,Hindi,5,कोयल,डॉ प्रदीप श्रीघर,"इन्सप्रश्शन
पब्लिकेशन",-,89,Good,8330,1
1900,Hindi,5,लक्ष्य,उषा छाबड़ा,सेपाहेर पब्लिकेशन,2011,275,Good,8330,1
1901,Hindi,5,स्नेहा, डॉ.भारती पांडे,कारडोवा पब्लिकेशंस,-,330,Good,8330,1
1902,Hindi,5,मृदुला हिंदी,माधुरी निपसे,कैम्ब्रिज यूनिवर्सिटी,2013,170,Good,8330,1
1903,Hindi,5, कथा सरोवर,पी.एल.विज,सोम सुधा प्रकाशन,2001,230,Good,8330,1
1904,Hindi,5,संचय,डॉ॰ कुमुद शर्मा,थी स्टार पब्लिकेशंन,-,165,Good,8330,1
1905,Hindi,0,नरचर प्रबुद्ध,प्रिया जैन ,,2016,215,Good,8330,1
1906,Hindi,8,अनुराग,"सत्यनारायण लाल
अंकिम चन्द्र",ओरियंटल लाँग्मैन.,2005,64,Good,8330,1
1907,Hindi,2,अनुगूँज,इंदिरा वेद,एड्यछलाइन प्रकाशन,2016,240,Good,8330,1
1908,Hindi,5,नेक्स्ट हिंदी,,,2016,175,Good,8330,1
1909,Hindi,2,संचय,डॉ॰ कुमुद शर्मा,थी स्टार पब्लिकेशंन,-,145,Good,8330,1
1910,Hindi,6,पराग,,,2007,199,Good,8330,1
1911,Hindi,7,अनुगूँज ,इंदिरा वेद,एड्यछलाइन प्रकाशन,2016,290,Good,8330,1
1912,Hindi,8,गरिमा,"वीरेंद्र जैन
डॉ. प्रदीप कुमार जैन",मधुबन एजुकेशनल,2016,345,Good,8330,1
1913,Hindi,2,पराग ,डॉ मनीष शर्मा,सृजन पब्लिकेशंस,2007,139,Good,8330,1
1914,Hindi,2,हिंदी सुरभि,कविता शर्मा,होली फेरय,-,205,Good,8330,1
1915,Hindi,5,संचय,डॉ॰ कुमुद शर्मा,थी स्टार पब्लिकेशंन,-,190,Good,8330,1
1916,Hindi,5,अमृत हिंदी पाठमाला,डॉ अनुराधा सक्सेना,अमरीटी यूनिवर्सिटी,2010,170,Good,8330,1
1917,Hindi,5,संकल्प,डॉ.आर.के डबास,"सरस्वती हाउस
प्रा.लीमिटेड",-,192,Good,8330,1
1918,Hindi,5,पराग,डॉ .मनीष शर्मा,सृजन पब्लिकेशंस,-,179,Good,8330,1
1919,Hindi,5,विश्व भारती,अक्षय दीक्षीत,सनवीम पब्लिकेशन,-,150,Good,8330,1
1920,Hindi,5,मुसकान,प्रभा शर्मा,सेपहीर पब्लिकेश,-,122,Good,8330,1
1921,Hindi,5,अविरल,लक्ष्मी जैन,वीवीएजूकेशन,2010,245,Good,8330,1
1922,Hindi,5,पराग,डॉ .मनीष शर्मा,सृजन पब्लिकेशंस,2007,95,Good,8330,1
1923,Hindi,5,हिंदी सुरभि,कविता शर्मा,होली फेरय,-,240,Good,8330,1
1924,Hindi,5,भाषा उत्थान,"राजेश कुमार
इंद्र कुमार लाल","हेल्पलाइन
पब्लिकेशंन",-,239,Good,8330,1
1925,Hindi,5,लक्ष्य,उषा छाबड़ा ,सेपहीर पब्लिशर्स,-,285,Good,8330,1
1926,Hindi,5,अनुपम धारा,"कौशल नाथ
एम. कपूर",आर.टी पब्लिकेशन,2009,-,Good,8330,1
1927,Hindi,5,भाषा संचय,डॉ देवेन्द्र शर्मा,प्राची इंडिया,2012,240,Good,8330,1
