Sl.no,Subject,class ,Title of the book,Author ,Publication,Edition,Price of the book in Rs,Book Condition,Almirah no,Reck no
53,Computer,3,Computer Vision,,Three star publication,,Rs115,Satisfactory,7586,3
54,Computer,,Intel(Tech to future),,Educomp,Version 4.0,,Satisfactory,7586,3
55,Computer,,Intel(Tech to future),,Educomp,Version 4.1,,Satisfactory,7586,3
56,Computer,,Intel(Tech to future),,Educomp,Version 4.2,,Satisfactory,7586,3
57,Computer,,Intel(Tech to future),,Educomp,Version 4.3,,Satisfactory,7586,3
58,Computer,,Chipping in ,"Br. Eric ,Sd Souza",Skw Enterprise,1990,RS52,Satisfactory,7586,3
59,Computer,,Internet Quiz Book,Vinoy Bhusan,Ocean Book Pvt Ltd,2004,RS200,Satisfactory,7586,3
60,Computer,1,Candid Chips And Bytes,Ashok Kumar,Evergreen Publication,2013,Rs150,Satisfactory,7586,3
61,Computer,,Intel(Tech to future),,Educomp,Version 4.0,,Satisfactory,7586,3
62,Computer,,Usborne guide to audio and radio,"John Hawkins,Susan Meridith",Vikash Publishing house ltd,,RS20,Satisfactory,7586,3
63,Computer,1,Lets learn computer,Holy spirit Publication,Ak Mathur,,Rs28,Satisfactory,7586,3
64,Computer,5,Communicating,Bro Biju joseph,Eduline Publication,2014,RS210,Satisfactory,7586,3
65,Computer,10,Understanding application,Vijay Kumar Pandey,Arya Publication,2010,RS240,Satisfactory,7586,3
66,Computer,9,Computer Application,Sumit arora,Dhanpat Rai,2010,RS225,Satisfactory,7586,3
67,Computer,9,Computer Application,Sumit arora,Dhanpat Rai,2010,RS226,Satisfactory,7586,3
68,Computer,4,E-World,"Anshu Kr ,Shweta Malik",Dorling Kinderslay,,RS209,Good,7586,3
69,Computer,3,Computer Workbook 3,"S.sangeeta,Bina Simon",Booster book education publisher,,RS210,Good,7586,3
70,Computer,8,Plug and play,Pinky Srivastava,Everonward publisher,2011,Rs205,Good,7586,3
71,Computer,4,E-World Computer Basic,"Anshu Kr ,Shweta Malik",Dorling Kinderslay,,Rs209,Good,7586,3
72,Computer,,Computer Concept and programing,Bharat Mehta,Galgotia book source,1990,Rs50,Good,7586,3
73,Computer,4,Fun with Logo,BPB Publication,Anjali Roy Chowdhary,1991,Rs30,Satisfactory,7586,3
74,Computer,1,Insight Computer,Seema Gupta,Robin International,,Rs38,Good,7586,3
75,Computer,7,Icse e-World ,"Anita goyal,Sanchayan Roy",Pearson Education India,,Rs225,Good,7586,3
76,Computer,6,Icse e-World ,"Anita goyal,Sanchayan Roy",Pearson Education India,,RS245,Good,7586,3
